face,polygon,joins,angle,vector
0,"(327.2922077922078, 68.85064935064923)",1,1.8457065507582202,0.099564455
,"(212.35714285714286, 141.57792207792198)",2,1.5205681460402345,-0.42799634
,"(395.71753246753246, 216.37499999999991)",,,0.4178811
,"(490.92857142857144, 117.55194805194799)",,,
1,"(212.35714285714286, 141.57792207792198)",0,1.8457065507582202,-0.46596298
,"(227.2922077922078, 257.1623376623376)",2,1.7357593867634225,0.4414351
,"(381.18831168831167, 336.3831168831168)",,,0.2862864
,"(395.67694805194805, 216.51704545454538)",,,
2,"(395.67694805194805, 216.51704545454538)",0,1.5205681460402345,0.59235454
,"(381.18831168831167, 336.3831168831168)",1,1.7357593867634225,0.3009912
,"(471.4480519480519, 225.9935064935064)",,,0.21809244
,"(490.92857142857144, 117.55194805194799)",,,
