face,polygon,joins,angle,vector
0,"(206.512987012987, 118.20129870129864)",1,2.089632883267275,-0.0027184105
,"(123.39610389610388, 183.78571428571422)",2,2.4809874969393144,-0.86126316
,"(223.31493506493504, 245.39285714285708)",3,1.593002884396666,0.2606777
,"(391.6185064935065, 221.73214285714278)",,,
,"(432.48701298701303, 146.12337662337654)",,,
,"(325.9935064935065, 98.72077922077915)",,,
1,"(123.39610389610388, 183.78571428571422)",0,2.089632883267275,-0.49847418
,"(150.66883116883113, 302.61688311688306)",2,1.0056656774063921,0.42157537
,"(244.82467532467533, 367.551948051948)",,,0.2124758
,"(223.43668831168827, 245.5146103896103)",,,
2,"(223.43668831168827, 245.5146103896103)",0,2.4809874969393144,0.13299489
,"(391.8823051948052, 221.63068181818176)",1,1.0056656774063921,0.6612561
,"(388.9805194805195, 342.2272727272727)",3,1.1645031550227634,0.23722695
,"(244.82467532467533, 367.551948051948)",,,
3,"(391.8823051948052, 221.63068181818176)",0,1.593002884396666,0.54275984
,"(432.48701298701303, 146.12337662337654)",2,1.1645031550227634,0.06981009
,"(429.8896103896104, 257.1623376623376)",,,0.1918597
,"(388.9805194805195, 342.2272727272727)",,,
